Date,Close/Last,Volume,Open,High,Low
11/17/2020,$248.03,1629623,$245,$251.56,$243.73
11/16/2020,$241.85,1799503,$234,$244.18,$230.25
11/13/2020,$234.8,1493720,$237.11,$241.625,$232.3
11/12/2020,$235.38,1744043,$243.8,$244.203,$232.16
11/11/2020,$240.76,1442372,$241.71,$246.89,$237.5
11/10/2020,$235.68,2266839,$249.65,$249.94,$229.98
11/09/2020,$239.84,2965923,$263.99,$265.95,$239
11/06/2020,$265,986802,$263.44,$270,$259.2
11/05/2020,$263.21,1272463,$271.48,$271.69,$258.9
11/04/2020,$263.91,1394680,$270.79,$274.87,$262.2
11/03/2020,$262.13,1376366,$256,$264.54,$254.0501
11/02/2020,$252.23,1301028,$254.1,$260.825,$247
10/30/2020,$250.02,2400377,$261.03,$262.63,$241.5
10/29/2020,$265.88,1146899,$273.8,$276.22,$264.16
10/28/2020,$272.44,2094260,$258.5,$272.53,$254.01
10/27/2020,$266.77,3492923,$254.89,$273,$253.99
10/26/2020,$251.39,4040120,$266.07,$271,$244.63
10/23/2020,$265.05,5619345,$290.34,$294,$262.24
10/22/2020,$297.09,5192823,$269.01,$301,$263
10/21/2020,$270.61,3359483,$251.65,$271.29,$250.35
10/20/2020,$251.77,1734296,$247,$252.5,$243.3
10/19/2020,$246.78,1535094,$245,$249.86,$243
10/16/2020,$242.52,1017136,$242,$245.99,$241.5901
10/15/2020,$241,1846451,$236.03,$241.355,$231.46
10/14/2020,$243.18,1711827,$251.99,$252,$239
10/13/2020,$249.61,1462376,$247,$250.5,$245.27
10/12/2020,$243.97,3138866,$250.32,$251.5,$243
10/09/2020,$238,1727964,$242,$243.695,$235.4701
10/08/2020,$240.19,1343844,$250,$250,$239.99
10/07/2020,$246,1682799,$245.5,$252.36,$245.29
