Date,Close/Last,Volume,Open,High,Low
01/05/2018,$157.2752,5179851,$157.2268,$157.672,$155.9308
01/04/2018,$156.5105,7554257,$154.5263,$157.1142,$154.2553
01/03/2018,$153.4036,9440508,$152.2905,$154.6812,$151.3129
01/02/2018,$149.2996,4197812,$149.5416,$149.8417,$148.6124
12/29/2017,$148.4963,3324662,$149.2222,$149.7546,$148.4914
12/28/2017,$149.0964,2686841,$148.2833,$149.1738,$148.2833
12/27/2017,$148.2156,2144620,$148.0414,$148.264,$147.7123
12/26/2017,$147.9252,2478972,$147.6155,$148.9222,$147.6058
12/22/2017,$147.6058,2984926,$146.9476,$148.0898,$146.6379
12/21/2017,$146.6379,4147873,$148.2543,$148.535,$146.6282
12/20/2017,$148.0414,3784577,$148.7189,$148.9512,$147.8768
12/19/2017,$148.3124,4116248,$149.1061,$149.2222,$148.1769
12/18/2017,$148.4092,5089588,$148.6608,$149.2319,$148.293
12/15/2017,$147.6058,11276390,$148.6802,$148.8641,$147.1509
12/14/2017,$149.0577,4635905,$149.6384,$150.132,$148.7673
12/13/2017,$148.9706,5658524,$151.5742,$151.7,$148.9512
12/12/2017,$151.7097,6321525,$150.2192,$152.7841,$150.1804
12/11/2017,$150.4224,4101417,$149.9965,$150.887,$149.6094
12/08/2017,$149.8417,3474743,$148.9996,$150.0546,$148.6221
12/07/2017,$148.6415,3771139,$149.0867,$149.4932,$148.3414
12/06/2017,$149.1545,3364424,$150.6934,$151.2064,$149.1448
12/05/2017,$150.3643,5067941,$151.429,$151.7097,$149.7158
12/04/2017,$151.4387,4664064,$150.6741,$151.7678,$150.0933
12/01/2017,$149.7933,5527305,$149.4448,$150.0449,$148.0051
11/30/2017,$149.0286,6461885,$148.7189,$149.4545,$148.1672
11/29/2017,$148.6221,5095366,$147.9059,$148.6802,$147.2864
11/28/2017,$147.5768,3961716,$147.4606,$148.022,$146.8315
11/27/2017,$147.1025,3304050,$147.1799,$147.5961,$146.754
11/24/2017,$146.967,1193025,$147.0735,$147.3154,$146.4734
11/22/2017,$146.8992,3212788,$147.1218,$147.4993,$146.4734
11/21/2017,$147.0735,3665087,$146.4443,$147.5574,$146.3475
11/20/2017,$145.6797,5655753,$145.8055,$147.0735,$145.0892
11/17/2017,$144.1891,4876732,$144.5472,$145.3312,$144.0536
11/16/2017,$144.3343,5446079,$142.9889,$144.8473,$142.7663
11/15/2017,$142.3791,4700553,$143.2502,$143.9326,$141.5186
11/14/2017,$144.1117,3742498,$143.2018,$144.1891,$142.7566
11/13/2017,$143.6374,5104982,$144.102,$144.2181,$143.1728
11/10/2017,$144.373,4306433,$145.8152,$146.0475,$144.3536
11/09/2017,$145.4764,4776316,$145.1183,$146.9283,$145.0505
11/08/2017,$146.7056,4632718,$146.7347,$146.9228,$145.457
11/07/2017,$146.4927,3692491,$146.5121,$146.6476,$145.67
11/06/2017,$145.9991,4498535,$146.8992,$146.9476,$145.457
11/03/2017,$146.7153,4430810,$148.4963,$148.5447,$146.6282
11/02/2017,$148.4285,3396982,$149.2319,$149.5319,$148.0026
11/01/2017,$149.0867,3236863,$149.1545,$149.9288,$148.8931
10/31/2017,$149.1157,4260973,$149.3771,$149.9578,$148.022
10/30/2017,$149.4061,4210002,$148.8254,$149.6287,$147.8091
10/27/2017,$148.7479,4895137,$149.5803,$149.6674,$148.0036
10/26/2017,$148.6705,4297634,$149.3577,$150.1417,$148.6124
10/25/2017,$148.5737,6917768,$151.0032,$151.3516,$148.1478
10/24/2017,$150.8773,8175300,$154.5263,$154.5747,$150.1911
10/23/2017,$154.4295,5778231,$156.8493,$157.2946,$154.4199
10/20/2017,$156.8687,7866470,$155.9008,$157.2655,$154.6425
10/19/2017,$155.7362,9910695,$154.6715,$155.7943,$153.9795
10/18/2017,$154.4102,30473410,$152.0775,$156.0556,$151.913
10/17/2017,$141.8371,6178625,$141.9242,$142.3985,$141.4886
10/16/2017,$142.1178,3041919,$142.4953,$142.9308,$141.808
10/13/2017,$142.3791,2505942,$142.7469,$143.105,$142.2242
10/12/2017,$142.3114,3304653,$142.8243,$143.1438,$142.0597
10/11/2017,$142.8824,3701258,$143.6374,$143.7051,$142.5533
10/10/2017,$143.7342,4029617,$142.9695,$144.1697,$142.9115
10/09/2017,$142.6598,2682506,$141.7984,$143.047,$141.6532
10/06/2017,$141.779,2620902,$141.9339,$142.1371,$141.6241
10/05/2017,$142.0113,2686485,$141.9726,$142.805,$141.779
10/04/2017,$141.779,2243214,$142.2823,$142.3017,$141.4209
10/03/2017,$142.0694,2302599,$141.9823,$142.4758,$141.6435
10/02/2017,$141.9532,2973073,$140.6853,$142.1516,$140.5498
09/29/2017,$140.4239,2644598,$140.7821,$141.0144,$140.2691
09/28/2017,$140.9853,2774541,$140.6659,$141.1789,$139.5819
09/27/2017,$140.9853,3496366,$141.9726,$142.1855,$140.3755
09/26/2017,$141.8564,4107436,$141.6629,$142.6888,$141.2563
09/25/2017,$141.1886,5210283,$140.4626,$141.3434,$140.2594
09/22/2017,$140.4723,2792199,$140.9176,$140.9176,$139.9497
09/21/2017,$140.5982,2520055,$140.9756,$141.209,$140.4433
09/20/2017,$141.1983,5446399,$140.2787,$141.1983,$139.7851
09/19/2017,$139.7561,3464383,$140.1432,$140.3271,$139.5915
09/18/2017,$139.9109,3019313,$140.1626,$140.811,$139.6399
09/15/2017,$140.1723,7373777,$140.1723,$140.511,$139.456
09/14/2017,$140.8692,3754007,$141.1789,$141.6822,$140.8401
09/13/2017,$141.3047,4098201,$140.6853,$141.5951,$140.6756
09/12/2017,$141.0821,5239033,$140.453,$141.6725,$139.8722
09/11/2017,$140.211,4611086,$138.9334,$140.4723,$138.4204
09/08/2017,$137.8783,3362498,$138.5559,$138.5559,$137.0943
09/07/2017,$138.3139,4188154,$139.4754,$139.9981,$137.8396
09/06/2017,$139.2044,3267586,$139.2624,$139.8335,$138.8946
